n,codigo_iso,control,dominio,obligacion_ley21719,tipo_vinculo,nota_explicativa
1,5.1,Políticas de seguridad de la información,5. Organizacionales,Principio de responsabilidad (accountability),Parcial,Política formal es evidencia de gobernanza; la ley no exige una política con ese nombre pero sí demostrar diligencia
2,5.2,Roles y responsabilidades de seguridad de la información,5. Organizacionales,Delegado de Protección de Datos (DPD),Parcial,"Roles generales de seguridad son la base organizacional, pero no sustituyen el rol legal específico del DPD"
3,5.3,Segregación de funciones,5. Organizacionales,Medidas de seguridad apropiadas al riesgo,Estructural,"Contribuye como buena práctica general, sin cláusula legal específica"
4,5.4,Responsabilidades de la dirección,5. Organizacionales,Principio de responsabilidad (accountability),Parcial,Compromiso de la alta dirección como evidencia de gobernanza del tratamiento
5,5.5,Contacto con autoridades,5. Organizacionales,Relación con la Agencia de Protección de Datos (APDP),Fuerte,Canal necesario para notificar brechas y atender fiscalización de la APDP
6,5.6,Contacto con grupos de interés especial,5. Organizacionales,—,Estructural,Sin vínculo legal directo; aporta a la mejora continua del programa de seguridad
7,5.7,Inteligencia de amenazas,5. Organizacionales,Base para evaluación de riesgo (DPIA),Parcial,Insumo técnico para identificar riesgos que pueden derivar en DPIA
8,5.8,Seguridad de la información en la gestión de proyectos,5. Organizacionales,Privacidad desde el diseño,Parcial,Integrar seguridad en proyectos apoya (no sustituye) el enfoque de privacidad por diseño
9,5.9,Inventario de información y otros activos asociados,5. Organizacionales,Registro de Actividades de Tratamiento (RAT),Fuerte,Insumo técnico directo para completar categorías de datos y activos del RAT
10,5.10,Uso aceptable de la información y otros activos asociados,5. Organizacionales,Principio de finalidad,Parcial,Define límites de uso que deben alinearse con la finalidad declarada al titular
11,5.11,Devolución de activos,5. Organizacionales,Eliminación de datos al término de la relación,Parcial,Relevante cuando los activos devueltos contienen datos personales
12,5.12,Clasificación de la información,5. Organizacionales,Identificación de datos sensibles,Fuerte,Presupuesto necesario para aplicar el régimen reforzado de datos sensibles de la ley
13,5.13,Etiquetado de la información,5. Organizacionales,Identificación de datos sensibles,Parcial,Complementa la clasificación para trazabilidad de datos sensibles
14,5.14,Transferencia de información,5. Organizacionales,Transferencias internacionales de datos,Fuerte,Control técnico de transferencia debe verificar el mecanismo legal habilitante
15,5.15,Control de acceso,5. Organizacionales,Principio de minimización,Parcial,Restringir accesos apoya el principio de necesidad de conocer
16,5.16,Gestión de identidad,5. Organizacionales,Medidas de seguridad apropiadas al riesgo,Estructural,Buena práctica general sin cláusula legal específica
17,5.17,Información de autenticación,5. Organizacionales,Medidas de seguridad apropiadas al riesgo,Estructural,Buena práctica general sin cláusula legal específica
18,5.18,Derechos de acceso,5. Organizacionales,Principio de minimización,Parcial,Gestión formal de permisos apoya el acceso restringido a datos personales
19,5.19,Seguridad de la información en las relaciones con proveedores,5. Organizacionales,Encargados de tratamiento,Fuerte,Base del régimen de responsabilidad de los encargados de tratamiento
20,5.20,Tratamiento de la seguridad de la información en los acuerdos con proveedores,5. Organizacionales,"Cláusulas contractuales con encargados (auditoría, notificación de brechas)",Fuerte,Corresponde casi 1:1 con las exigencias contractuales mínimas de la ley
21,5.21,Gestión de la seguridad de la información en la cadena de suministro de TIC,5. Organizacionales,Subencargados de tratamiento,Parcial,Relevante cuando el proveedor subcontrata a otros que también tratan datos
22,5.22,"Monitoreo, revisión y gestión de cambios de los servicios de proveedores",5. Organizacionales,Derecho de auditoría sobre encargados,Fuerte,Corresponde directamente a la facultad de verificar cumplimiento del proveedor
23,5.23,Seguridad de la información para el uso de servicios en la nube,5. Organizacionales,Transferencias internacionales,Parcial,Relevante si el proveedor cloud aloja datos fuera de Chile
24,5.24,Planificación y preparación de la gestión de incidentes de seguridad,5. Organizacionales,Procedimiento de notificación de brechas,Fuerte,Es el proceso operativo que sostiene el cumplimiento del plazo legal de notificación
25,5.25,Evaluación y decisión sobre eventos de seguridad de la información,5. Organizacionales,Evaluación de si una brecha implica alto riesgo para notificar a titulares,Fuerte,Corresponde al análisis que la ley exige para decidir si se notifica a los titulares
26,5.26,Respuesta a incidentes de seguridad de la información,5. Organizacionales,Notificación de brechas a la Agencia dentro de 72 horas,Fuerte,Ejecuta materialmente el cumplimiento del plazo legal de notificación
27,5.27,Aprendizaje de los incidentes de seguridad de la información,5. Organizacionales,—,Estructural,Mejora continua sin exigencia legal puntual
28,5.28,Recopilación de evidencia,5. Organizacionales,Registro de incidentes ante la Agencia,Parcial,Sustenta la trazabilidad exigible ante una fiscalización
29,5.29,Seguridad de la información durante la disrupción,5. Organizacionales,—,Estructural,Continuidad operativa sin cláusula legal específica
30,5.30,Preparación de las TIC para la continuidad del negocio,5. Organizacionales,—,Estructural,Continuidad operativa sin cláusula legal específica
31,5.31,"Requisitos legales, estatutarios, reglamentarios y contractuales",5. Organizacionales,Cumplimiento del marco general de la Ley 21.719,Fuerte,Es el control que formaliza el mapeo regulatorio de la organización
32,5.32,Derechos de propiedad intelectual,5. Organizacionales,—,No aplica directo,Sin vínculo con la normativa de protección de datos
33,5.33,Protección de los registros,5. Organizacionales,Plazos de conservación del RAT,Parcial,Apoya la integridad y disponibilidad de los registros exigidos por la ley
34,5.34,Privacidad y protección de datos personales,5. Organizacionales,Núcleo de la Ley 21.719 (licitud y protección de datos personales),Fuerte,Es el control que declara explícitamente el cumplimiento de normativa de privacidad
35,5.35,Revisión independiente de la seguridad de la información,5. Organizacionales,Auditorías de cumplimiento como evidencia ante la Agencia,Parcial,"Aporta evidencia de diligencia, no reemplaza una auditoría de cumplimiento legal"
36,5.36,"Cumplimiento de políticas, normas y estándares de seguridad de la información",5. Organizacionales,Principio de responsabilidad (accountability),Parcial,Verificación interna que sostiene la capacidad de acreditar cumplimiento
37,5.37,Procedimientos operativos documentados,5. Organizacionales,Evidencia documental exigida por la ley,Parcial,La documentación operativa es parte del estándar de accountability exigido
38,6.1,Selección de personal,6. Personas,—,Parcial,Relevante solo para roles con acceso a datos sensibles o de alto volumen
39,6.2,Términos y condiciones de empleo,6. Personas,Deber de confidencialidad,Parcial,Las cláusulas de confidencialidad laboral respaldan el deber de secreto
40,6.3,"Concienciación, educación y formación en seguridad de la información",6. Personas,Capacitación en protección de datos,Parcial,"Buena práctica que refuerza la cultura de cumplimiento, no siempre exigida expresamente"
41,6.4,Proceso disciplinario,6. Personas,—,No aplica directo,Sin vínculo directo con obligaciones específicas de la ley
42,6.5,Responsabilidades tras la finalización o cambio de empleo,6. Personas,Eliminación de datos y accesos al término de la relación,Parcial,Relevante cuando el término de la relación implica revocar acceso a datos personales
43,6.6,Acuerdos de confidencialidad o no divulgación,6. Personas,Deber de confidencialidad y secreto,Fuerte,Corresponde directamente al deber de confidencialidad que impone la ley
44,6.7,Trabajo remoto,6. Personas,Medidas de seguridad en tratamiento remoto,Estructural,Buena práctica general sin cláusula legal específica
45,6.8,Reporte de eventos de seguridad de la información,6. Personas,Reporte interno previo a la notificación de brechas,Fuerte,Es el primer eslabón que permite cumplir el plazo legal de 72 horas
46,7.1,Perímetros de seguridad física,7. Físicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
47,7.2,Entrada física,7. Físicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
48,7.3,"Seguridad de oficinas, despachos e instalaciones",7. Físicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
49,7.4,Monitoreo de la seguridad física,7. Físicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
50,7.5,Protección contra amenazas físicas y ambientales,7. Físicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
